Name,Location,Ranking,ProgramDetails,TuitionFees
Hochschule für Musik und Darstellende Kunst Mannheim,Mannheim,Not in top rankings,Bachelor in Music Performance,"Music proficiency test, IELTS 6.5"
Hochschule für Musik und Darstellende Kunst Mannheim,Mannheim,Not in top rankings,Master in Acting,"Bachelor's degree in Theater Arts, IELTS 6.0"
Hochschule für Musik und Darstellende Kunst Mannheim,Mannheim,Not in top rankings,Bachelor in Music Education,"High school diploma, Music proficiency test, IELTS 6.5"
Hochschule für Musik und Darstellende Kunst Mannheim,Mannheim,Not in top rankings,Master in Composition,"Bachelor's degree in Music, IELTS 6.0"
Hochschule für Musik und Darstellende Kunst Mannheim,Mannheim,Not in top rankings,Bachelor in Dance Performance,"Dance audition, IELTS 6.5"
Hochschule für Agrar- und Umweltpädagogik Wien,Vienna,Not in top rankings,Bachelor in Environmental Education,"High school diploma, IELTS 6.0"
Hochschule für Agrar- und Umweltpädagogik Wien,Vienna,Not in top rankings,Master in Agricultural Economics,"Bachelor's degree in Economics, IELTS 6.5"
Hochschule für Agrar- und Umweltpädagogik Wien,Vienna,Not in top rankings,Bachelor in Sustainable Agriculture,"High school diploma, IELTS 6.0"
Hochschule für Agrar- und Umweltpädagogik Wien,Vienna,Not in top rankings,Master in Environmental Policy,"Bachelor's degree in Environmental Studies, IELTS 6.5"
Hochschule für Agrar- und Umweltpädagogik Wien,Vienna,Not in top rankings,Bachelor in Horticulture,"High school diploma, IELTS 6.0"
Leibniz University Hannover,Hannover,Not in top rankings,Mechanical Engineering,"High school diploma, 12 years of education, Mathematics and Physics background, German language proficiency"
Leibniz University Hannover,Hannover,Not in top rankings,Computer Science,"High school diploma, 12 years of education, Mathematics background, German language proficiency"
Leibniz University Hannover,Hannover,Not in top rankings,Environmental Engineering,"High school diploma, 12 years of education, Mathematics and Science background, German language proficiency"
Hochschule Aschaffenburg,Aschaffenburg,Not in top rankings,Bachelor in Business Administration,"High school diploma, minimum 2.5 GPA, IELTS 6.0"
Hochschule Aschaffenburg,Aschaffenburg,Not in top rankings,Master in International Management,"Bachelor's degree, minimum 3.0 GPA, IELTS 6.5"
Hochschule Aschaffenburg,Aschaffenburg,Not in top rankings,Bachelor in Information Technology,"High school diploma, minimum 2.8 GPA, IELTS 6.0"
Hochschule Aschaffenburg,Aschaffenburg,Not in top rankings,Master in Engineering Management,"Bachelor's degree, minimum 3.2 GPA, IELTS 6.5"
University of Freiburg,Freiburg,Not in top rankings,Bachelor in Biology,"High school diploma, Grade average of 2.0 or better, IELTS 6.0"
University of Freiburg,Freiburg,Not in top rankings,Master in Environmental Sciences,"Bachelor's degree in related field, Grade average of 2.5 or better, IELTS 6.5"
University of Freiburg,Freiburg,Not in top rankings,PhD in Computer Science,"Master's degree in Computer Science, Grade average of 2.0 or better, IELTS 7.0"
University of Koblenz and Landau,Koblenz and Landau,Not in top rankings,Bachelor in Computer Science,"High school diploma, good grades in mathematics and computer science subjects, IELTS 6.0"
University of Koblenz and Landau,Koblenz and Landau,Not in top rankings,Master in Environmental Sciences,"Bachelor's degree in related field, IELTS 6.5"
University of Koblenz and Landau,Koblenz and Landau,Not in top rankings,PhD in Economics,"Master's degree in Economics or related field, research proposal, IELTS 7.0"
Hochschule Mainz,"Mainz, Germany",Not in Top Rankings,Bachelor in Business Administration,"High school diploma, GPA 2.5 or higher, IELTS 6.0"
Hochschule Mainz,"Mainz, Germany",Not in Top Rankings,Master in International Marketing,"Bachelor's degree, GPA 2.75 or higher, IELTS 6.5"
Hochschule Mainz,"Mainz, Germany",Not in Top Rankings,Bachelor in Computer Science,"High school diploma, GPA 2.7 or higher, IELTS 6.0"
Hochschule Mainz,"Mainz, Germany",Not in Top Rankings,Master in Renewable Energy Systems,"Bachelor's degree, GPA 3.0 or higher, IELTS 6.5"
Fachhochschule Schmalkalden,"Schmalkalden, Germany",Not in Top Rankings,Bachelor in Business Informatics,"High school diploma, GPA 2.5 or higher, IELTS 6.0"
Fachhochschule Schmalkalden,"Schmalkalden, Germany",Not in Top Rankings,Master in Industrial Engineering,"Bachelor's degree, GPA 2.8 or higher, IELTS 6.5"
Fachhochschule Schmalkalden,"Schmalkalden, Germany",Not in Top Rankings,Bachelor in Media Management,"High school diploma, GPA 2.7 or higher, IELTS 6.0"
Fachhochschule Schmalkalden,"Schmalkalden, Germany",Not in Top Rankings,Master in Renewable Resources,"Bachelor's degree, GPA 3.0 or higher, IELTS 6.5"
Hochschule für Musik und Darstellende Kunst Leipzig,Leipzig,Not in top rankings,Opera Performance,Audition required. Previous opera performance experience preferred.
Hochschule für Musik und Darstellende Kunst Leipzig,Leipzig,Not in top rankings,Acting,Audition required. Previous acting experience preferred.
Ostfalia University of Applied Sciences,"Wolfenbüttel, Germany",Not in top rankings,Bachelor in Business Administration,"High school diploma, minimum GPA of 2.5, IELTS 6.0"
Ostfalia University of Applied Sciences,"Wolfenbüttel, Germany",Not in top rankings,Master in Mechanical Engineering,"Bachelor's degree in related field, minimum GPA of 3.0, IELTS 6.5"
Ostfalia University of Applied Sciences,"Wolfenbüttel, Germany",Not in top rankings,Bachelor in Computer Science,"High school diploma, minimum GPA of 2.8, IELTS 6.5"
Ostfalia University of Applied Sciences,"Wolfenbüttel, Germany",Not in top rankings,Master in Automotive Engineering,"Bachelor's degree in Engineering, minimum GPA of 3.2, IELTS 6.5"
Hochschule für Musik Karlsruhe,Karlsruhe,Not in top rankings,Bachelor of Music Performance,"Audition, High school diploma or equivalent, Music theory knowledge"
Hochschule für Musik Karlsruhe,Karlsruhe,Not in top rankings,Master of Music Composition,"Portfolio submission, Bachelor's degree in music or related field"
Hochschule für Musik Karlsruhe,Karlsruhe,Not in top rankings,Diploma in Opera Singing,"Audition, High school diploma or equivalent, Vocal performance experience"
Hochschule für Polizei Baden-Württemberg,Villingen-Schwenningen,Not in top rankings,Bachelor of Police Service,"Physical fitness test, High school diploma or equivalent, Criminal justice knowledge"
Hochschule für Polizei Baden-Württemberg,Villingen-Schwenningen,Not in top rankings,Master of Criminal Investigation,"Bachelor's degree in law enforcement or related field, Interview"
Hochschule für Polizei Baden-Württemberg,Villingen-Schwenningen,Not in top rankings,Diploma in Forensic Science,"Interview, High school diploma or equivalent, Science background"
Hochschule für Öffentliche Verwaltung Kehl,Kehl,Not in top rankings,Bachelor of Public Administration,"Written test, High school diploma or equivalent, Public administration interest"
Hochschule für Öffentliche Verwaltung Kehl,Kehl,Not in top rankings,Master of European Governance,"Bachelor's degree in political science or related field, Interview"
Hochschule für Öffentliche Verwaltung Kehl,Kehl,Not in top rankings,Diploma in Local Government Management,"Interview, High school diploma or equivalent, Administrative skills"
University of Gießen,Gießen,Not in top rankings,Bachelor in Economics,"High school diploma, GPA of 2.5 or higher, IELTS 6.0"
University of Gießen,Gießen,Not in top rankings,Master in Psychology,"Bachelor's degree, GPA of 2.7 or higher, IELTS 6.5"
University of Gießen,Gießen,Not in top rankings,PhD in Biology,"Master's degree, GPA of 3.0 or higher, IELTS 7.0"
University of Bremen,Bremen,Not in top rankings,Bachelor in International Relations,"High school diploma, GPA of 2.7 or higher, IELTS 6.0"
University of Bremen,Bremen,Not in top rankings,Master in Public Health,"Bachelor's degree, GPA of 3.0 or higher, IELTS 6.5"
University of Bremen,Bremen,Not in top rankings,PhD in Sociology,"Master's degree, GPA of 3.2 or higher, IELTS 7.0"
Hochschule für Musik und Theater Feliciana,Feliciana,Not in top rankings,Bachelor of Music Performance,Applicants must have a high school diploma or equivalent. A musical aptitude test is required. IELTS 6.0
Hochschule für Musik und Theater Feliciana,Feliciana,Not in top rankings,Master of Theatre Arts,Bachelor's degree in relevant field. Audition required. IELTS 6.5
Hochschule für Musik und Theater Feliciana,Feliciana,Not in top rankings,Diploma in Opera Studies,Previous music education. Audition required. IELTS 6.0
Hochschule für Agrarwissenschaften und Umweltmanagement Schwarzwald,Schwarzwald,Not in top rankings,Bachelor of Agricultural Sciences,"High school diploma, specific interest in agriculture. IELTS 6.0"
Hochschule für Agrarwissenschaften und Umweltmanagement Schwarzwald,Schwarzwald,Not in top rankings,Master of Environmental Management,Bachelor's degree in related field. Statement of purpose. IELTS 6.5
Hochschule für Agrarwissenschaften und Umweltmanagement Schwarzwald,Schwarzwald,Not in top rankings,Diploma in Sustainable Agriculture,Previous coursework in agriculture. Letter of recommendation. IELTS 6.0
Hochschule für Wirtschaft und Technologie Schwarzwald,Schwarzwald,Not in top rankings,Bachelor of Business Administration,High school diploma. Letter of motivation. IELTS 6.0
Hochschule für Wirtschaft und Technologie Schwarzwald,Schwarzwald,Not in top rankings,Master of Technology Management,Bachelor's degree in related field. Work experience. IELTS 6.5
Hochschule für Wirtschaft und Technologie Schwarzwald,Schwarzwald,Not in top rankings,Diploma in Entrepreneurship,Interest in business. Business plan submission. IELTS 6.0
Hochschule für Nachhaltige Entwicklung Eberswalde,Eberswalde,Not in top rankings,Environmental Management,"High school diploma, GPA 2.5, IELTS 6.0"
Hochschule für Nachhaltige Entwicklung Eberswalde,Eberswalde,Not in top rankings,Sustainable Tourism,"High school diploma, GPA 2.7, IELTS 6.5"
Hochschule für Nachhaltige Entwicklung Eberswalde,Eberswalde,Not in top rankings,Renewable Energy Systems,"High school diploma, GPA 2.8, IELTS 6.5"
Hochschule Koblenz,Koblenz,Not in top rankings,Bachelor in Business Administration,"High school diploma, minimum GPA of 2.5, IELTS 6.0"
Hochschule Koblenz,Koblenz,Not in top rankings,Master in Computer Science,"Bachelor's degree in related field, minimum GPA of 3.0, IELTS 6.5"
Hochschule Koblenz,Koblenz,Not in top rankings,Bachelor in Mechanical Engineering,"High school diploma, minimum GPA of 2.8, IELTS 6.5"
Hochschule Koblenz,Koblenz,Not in top rankings,Master in Renewable Energy Systems,"Bachelor's degree in related field, minimum GPA of 3.2, IELTS 6.5"
Hochschule Koblenz,Koblenz,Not in top rankings,Bachelor in Tourism Management,"High school diploma, minimum GPA of 2.7, IELTS 6.0"
University of Tübingen,Tübingen,Not in the top rankings,Bachelor in Biology,"High school diploma, good grades in science subjects, IELTS 6.0"
University of Tübingen,Tübingen,Not in the top rankings,Master in Philosophy,"Bachelor's degree in related field, IELTS 6.5"
University of Paderborn,Paderborn,Not in the top rankings,Bachelor in Computer Science,"High school diploma, good grades in math, IELTS 6.5"
University of Paderborn,Paderborn,Not in the top rankings,Master in Mechanical Engineering,"Bachelor's degree in engineering, IELTS 6.0"
Technische Hochschule Nürnberg,Nuremberg,Not in top rankings,Computer Science,"High school diploma, GPA of 2.5 or higher, IELTS 6.0"
Technische Hochschule Nürnberg,Nuremberg,Not in top rankings,Mechanical Engineering,"High school diploma, GPA of 2.8 or higher, IELTS 6.5"
Rhine-Waal University of Applied Sciences,Kleve and Kamp-Lintfort,Not in top rankings,International Business,"High school diploma, German language proficiency, IELTS 6.0"
Rhine-Waal University of Applied Sciences,Kleve and Kamp-Lintfort,Not in top rankings,Sustainable Agriculture,"High school diploma, German language proficiency, IELTS 6.5"
University of Applied Sciences Eberswalde,Eberswalde,Not in top rankings,Sustainable Tourism Management,"Bachelor's degree, German language proficiency, IELTS 6.5"
University of Applied Sciences Eberswalde,Eberswalde,Not in top rankings,Organic Agriculture and Food Systems,"Bachelor's degree, German language proficiency, IELTS 6.0"
Technische Hochschule Georg Agricola,Bochum,Not ranked,Mining Engineering,"High school diploma, Mathematics and Physics background"
Technische Hochschule Georg Agricola,Bochum,Not ranked,Geoinformatics,"Bachelor's degree in related field, Geospatial knowledge"
Technische Hochschule Georg Agricola,Bochum,Not ranked,Environmental Engineering,"Bachelor's degree in Engineering, Environmental Science background"
Katholische Hochschule für Sozialwesen Berlin,Berlin,Not ranked,Social Work,"High school diploma, Social Science background"
Katholische Hochschule für Sozialwesen Berlin,Berlin,Not ranked,Child Welfare,"Bachelor's degree in related field, Child Development knowledge"
Katholische Hochschule für Sozialwesen Berlin,Berlin,Not ranked,Community Development,"Bachelor's degree in Social Sciences, Community Engagement experience"
Hochschule für Schauspielkunst Ernst Busch Rostock,Rostock,Not ranked,Acting,"Audition, Performance experience"
Hochschule für Schauspielkunst Ernst Busch Rostock,Rostock,Not ranked,Directing,"Bachelor's degree in related field, Directing portfolio"
Hochschule für Schauspielkunst Ernst Busch Rostock,Rostock,Not ranked,Stage Design,"Bachelor's degree in Design, Artistic skills"
Pforzheim University,Pforzheim,Not in top rankings,Bachelor in Business Administration,"High school diploma, German Abitur or equivalent, Letter of Motivation, CV, German language proficiency (DSH 2 or TestDaF 4), English proficiency (IELTS 6.0)"
Pforzheim University,Pforzheim,Not in top rankings,Master in International Management,"Bachelor's degree, GMAT (min. 550), English proficiency (IELTS 6.5), Letter of Motivation, CV, Relevant work experience"
Pforzheim University,Pforzheim,Not in top rankings,Bachelor in Industrial Engineering,"High school diploma, German Abitur or equivalent, German language proficiency (DSH 2 or TestDaF 4), English proficiency (IELTS 6.0)"
Pforzheim University,Pforzheim,Not in top rankings,Master in Information Systems,"Bachelor's degree in related field, English proficiency (IELTS 6.5), Letter of Motivation, CV, Relevant work experience"
Pforzheim University,Pforzheim,Not in top rankings,Bachelor in Creative Direction and Film,"High school diploma, German Abitur or equivalent, Portfolio, German language proficiency (DSH 2 or TestDaF 4), English proficiency (IELTS 6.0)"
Hochschule Karlsruhe - Technik und Wirtschaft,Karlsruhe,Not in top rankings,Computer Science,"Minimum GPA 2.5, IELTS 6.0"
Hochschule Karlsruhe - Technik und Wirtschaft,Karlsruhe,Not in top rankings,Business Administration,"Minimum GPA 2.8, IELTS 6.5"
Hochschule Karlsruhe - Technik und Wirtschaft,Karlsruhe,Not in top rankings,Mechanical Engineering,"Minimum GPA 2.7, IELTS 6.0"
Hochschule Karlsruhe - Technik und Wirtschaft,Karlsruhe,Not in top rankings,Industrial Design,"Minimum GPA 3.0, IELTS 6.5"
Hochschule Karlsruhe - Technik und Wirtschaft,Karlsruhe,Not in top rankings,Environmental Engineering,"Minimum GPA 2.5, IELTS 6.0"
Hochschule Karlsruhe - Technik und Wirtschaft,Karlsruhe,Not in top rankings,Media Technology,"Minimum GPA 2.8, IELTS 6.5"
Hochschule Karlsruhe - Technik und Wirtschaft,Karlsruhe,Not in top rankings,Civil Engineering,"Minimum GPA 2.7, IELTS 6.0"
Hochschule Karlsruhe - Technik und Wirtschaft,Karlsruhe,Not in top rankings,Electrical Engineering,"Minimum GPA 2.6, IELTS 6.0"
Hochschule Karlsruhe - Technik und Wirtschaft,Karlsruhe,Not in top rankings,International Business Management,"Minimum GPA 2.8, IELTS 6.5"
Hochschule Karlsruhe - Technik und Wirtschaft,Karlsruhe,Not in top rankings,Information Technology,"Minimum GPA 2.5, IELTS 6.0"
Hochschule für Musik Würzburg,Würzburg,Not ranked,Bachelor of Music Performance,Applicants must pass an entrance exam and audition. High school diploma or equivalent. IELTS 6.0.
Hochschule für Musik Würzburg,Würzburg,Not ranked,Master of Music Education,Bachelor's degree in music or related field. Entrance exam and interview. IELTS 6.5.
Hochschule für Finanzen und Verwaltung,Edenkoben,Not ranked,Bachelor of Public Administration,High school diploma. Entrance exam. IELTS 6.0.
Hochschule für Finanzen und Verwaltung,Edenkoben,Not ranked,Master of Finance Management,Bachelor's degree in finance or related field. Interview. IELTS 6.5.
Hochschule für Gestaltung Offenbach,Offenbach,Not ranked,Bachelor of Fine Arts,Portfolio submission. High school diploma. Interview. IELTS 6.0.
Hochschule für Gestaltung Offenbach,Offenbach,Not ranked,Master of Design Studies,Bachelor's degree in design or related field. Portfolio submission. IELTS 6.5.
University of Applied Sciences Rosenheim,Rosenheim,Not in top rankings,Bachelor in Mechanical Engineering,"High school diploma, Mathematics and Physics background, German language proficiency"
University of Applied Sciences Rosenheim,Rosenheim,Not in top rankings,Master in Business Administration,"Bachelor's degree in related field, Work experience, German language proficiency"
University of Applied Sciences Rosenheim,Rosenheim,Not in top rankings,Bachelor in Biotechnology,"High school diploma, Biology and Chemistry background, German language proficiency"
University of Applied Sciences Rosenheim,Rosenheim,Not in top rankings,Master in Sustainable Energy Systems,"Bachelor's degree in Engineering, Environmental Science background, German language proficiency"
Hochschule für Technik und Wirtschaft des Saarlandes,Saarbrücken,Not in top rankings,Bachelor in Mechanical Engineering,"High school diploma, Mathematics and Physics background, German language proficiency"
Hochschule für Technik und Wirtschaft des Saarlandes,Saarbrücken,Not in top rankings,Master in Business Informatics,"Bachelor's degree in a related field, German language proficiency"
Hochschule für Technik und Wirtschaft des Saarlandes,Saarbrücken,Not in top rankings,Bachelor in Electrical Engineering,"High school diploma, Mathematics and Physics background, German language proficiency"
Hochschule für Technik und Wirtschaft des Saarlandes,Saarbrücken,Not in top rankings,Master in Information Technology,"Bachelor's degree in a related field, German language proficiency"
Hochschule Ruhr West,Mülheim an der Ruhr,Not in top rankings,Mechanical Engineering,"Good grades in Mathematics and Physics, IELTS 6.0"
Hochschule Ruhr West,Mülheim an der Ruhr,Not in top rankings,Computer Science,"Proficiency in programming languages, IELTS 6.5"
Hochschule Ruhr West,Mülheim an der Ruhr,Not in top rankings,Business Administration,"Strong background in Economics and Management, IELTS 6.5"
FH Aachen University of Applied Sciences,Aachen,Not in top rankings,Bachelor in Mechanical Engineering,"High school diploma, Mathematics and Physics proficiency, German language proficiency, IELTS 6.0"
FH Aachen University of Applied Sciences,Aachen,Not in top rankings,Master in Electrical Engineering,"Bachelor's degree in relevant field, German language proficiency, IELTS 6.5"
Hochschule Kaiserslautern,Kaiserslautern,Not in top rankings,Bachelor in Business Administration,"High school diploma, grades equivalent to German Abitur, IELTS 6.0"
Hochschule Kaiserslautern,Kaiserslautern,Not in top rankings,Master in Computer Science,"Bachelor's degree in Computer Science or related field, IELTS 6.5"
Hochschule Kaiserslautern,Kaiserslautern,Not in top rankings,Bachelor in Mechanical Engineering,"High school diploma, grades equivalent to German Abitur, IELTS 6.0"
Hochschule Kaiserslautern,Kaiserslautern,Not in top rankings,Master in Renewable Energy Systems,"Bachelor's degree in Engineering or related field, IELTS 6.5"
University of Pforzheim,Pforzheim,Not in top rankings,International Business,"High school diploma, B2 level in German language, IELTS 6.0"
University of Pforzheim,Pforzheim,Not in top rankings,Mechanical Engineering,"High school diploma, B2 level in German language, IELTS 6.0"
University of Pforzheim,Pforzheim,Not in top rankings,Marketing Management,"High school diploma, B2 level in German language, IELTS 6.0"
Hochschule für Jüdische Studien Heidelberg,Heidelberg,Not ranked,Jewish Studies,"High school diploma or equivalent, German language proficiency, letter of motivation"
Hochschule für Jüdische Studien Heidelberg,Heidelberg,Not ranked,Jewish History,"Bachelor's degree in a related field, German language proficiency, letter of motivation"
Hochschule für Kirchenmusik Tübingen,Tübingen,Not ranked,Church Music,"High school diploma or equivalent, music proficiency test, German language proficiency"
Hochschule für Kirchenmusik Tübingen,Tübingen,Not ranked,Music Education,"Bachelor's degree in music or education, music proficiency test, German language proficiency"
University of Applied Sciences Osnabrück,Osnabrück,Not in top rankings,Computer Science,"High school diploma, minimum GPA of 2.5, IELTS 6.0"
University of Applied Sciences Osnabrück,Osnabrück,Not in top rankings,Business Administration,"High school diploma, minimum GPA of 2.0, IELTS 6.5"
University of Applied Sciences Osnabrück,Osnabrück,Not in top rankings,Mechanical Engineering,"High school diploma, minimum GPA of 2.8, IELTS 6.0"
University of Applied Sciences Osnabrück,Osnabrück,Not in top rankings,International Business,"High school diploma, minimum GPA of 2.5, IELTS 6.5"
University of Applied Sciences Osnabrück,Osnabrück,Not in top rankings,Environmental Sciences,"High school diploma, minimum GPA of 2.7, IELTS 6.0"
University of Applied Sciences Osnabrück,Osnabrück,Not in top rankings,Electrical Engineering,"High school diploma, minimum GPA of 2.8, IELTS 6.5"
University of Applied Sciences Osnabrück,Osnabrück,Not in top rankings,Marketing,"High school diploma, minimum GPA of 2.5, IELTS 6.0"
University of Applied Sciences Osnabrück,Osnabrück,Not in top rankings,Civil Engineering,"High school diploma, minimum GPA of 2.7, IELTS 6.5"
University of Applied Sciences Osnabrück,Osnabrück,Not in top rankings,Psychology,"High school diploma, minimum GPA of 2.8, IELTS 6.0"
University of Applied Sciences Osnabrück,Osnabrück,Not in top rankings,Tourism Management,"High school diploma, minimum GPA of 2.5, IELTS 6.5"
Hochschule für Politik München,Munich,Not in top rankings,Bachelor in Political Science,"High school diploma, German language proficiency, Entrance exam"
Hochschule für Politik München,Munich,Not in top rankings,Master in International Relations,"Bachelor's degree, German language proficiency, Letter of motivation"
Hochschule für Politik München,Munich,Not in top rankings,PhD in Political Philosophy,"Master's degree, Research proposal, Interview"
University of Applied Sciences Wurzburg-Schweinfurt,"Wurzburg, Germany",Not in top rankings,Bachelor in Business Administration,"High school diploma, minimum GPA 2.5, IELTS 6.0"
University of Applied Sciences Wurzburg-Schweinfurt,"Wurzburg, Germany",Not in top rankings,Master in International Management,"Bachelor's degree, minimum GPA 3.0, IELTS 6.5"
University of Applied Sciences Wurzburg-Schweinfurt,"Wurzburg, Germany",Not in top rankings,Bachelor in Mechanical Engineering,"High school diploma, minimum GPA 2.8, IELTS 6.5"
University of Applied Sciences Wurzburg-Schweinfurt,"Wurzburg, Germany",Not in top rankings,Master in Information Technology,"Bachelor's degree, minimum GPA 3.2, IELTS 6.5"
University of Applied Sciences Mainz,Mainz,Not in top rankings,International Business,"High School Diploma, GPA 2.5 or equivalent, IELTS 6.0"
University of Applied Sciences Mainz,Mainz,Not in top rankings,Computer Science,"High School Diploma, GPA 2.8 or equivalent, IELTS 6.5"
University of Applied Sciences Mainz,Mainz,Not in top rankings,Environmental Engineering,"High School Diploma, GPA 3.0 or equivalent, IELTS 6.5"
Ostbayerische Technische Hochschule Regensburg,Regensburg,Not in top rankings,Mechanical Engineering,"High school diploma, GPA of 2.5 or higher, IELTS 6.0"
Ostbayerische Technische Hochschule Regensburg,Regensburg,Not in top rankings,Computer Science,"High school diploma, GPA of 2.7 or higher, IELTS 6.5"
Ostbayerische Technische Hochschule Regensburg,Regensburg,Not in top rankings,Civil Engineering,"High school diploma, GPA of 2.8 or higher, IELTS 6.0"
University of Applied Sciences Neu-Ulm,Neu-Ulm,Not in top rankings,Business Administration,"High school diploma, German language proficiency, Grade average of 2.5 or better, IELTS 6.0"
University of Applied Sciences Neu-Ulm,Neu-Ulm,Not in top rankings,International Business,"High school diploma, German language proficiency, Grade average of 2.5 or better, IELTS 6.5"
University of Applied Sciences Neu-Ulm,Neu-Ulm,Not in top rankings,Digital Business Management,"High school diploma, German language proficiency, Grade average of 2.7 or better, IELTS 6.0"
University of Applied Sciences Neu-Ulm,Neu-Ulm,Not in top rankings,Information Management,"High school diploma, German language proficiency, Grade average of 2.8 or better, IELTS 6.5"
Munich Business School,Munich,Not in top rankings,Bachelor in International Business,"High School Diploma, Letter of Motivation, Interview"
Munich Business School,Munich,Not in top rankings,Master in Innovation & Entrepreneurship,"Bachelor's Degree, Letter of Motivation, Interview"
University of Applied Sciences Europe,"Berlin, Hamburg, Iserlohn",Not in top rankings,Bachelor in Business Administration,"High School Diploma, Letter of Motivation, Interview"
University of Applied Sciences Europe,"Berlin, Hamburg, Iserlohn",Not in top rankings,Master in Digital Business Management,"Bachelor's Degree, Letter of Motivation, Interview"
CBS International Business School,"Cologne, Mainz, Potsdam",Not in top rankings,Bachelor in Business Psychology,"High School Diploma, Letter of Motivation, Interview"
CBS International Business School,"Cologne, Mainz, Potsdam",Not in top rankings,Master in Finance & Management,"Bachelor's Degree, Letter of Motivation, Interview"
University of Applied Sciences Bremen,Bremen,Not in top rankings,Bachelor in International Business,"High school diploma, German language proficiency, IELTS 6.0"
University of Applied Sciences Bremen,Bremen,Not in top rankings,Master in Renewable Energy,"Bachelor's degree in relevant field, German language proficiency, IELTS 6.5"
University of Applied Sciences Bremen,Bremen,Not in top rankings,PhD in Environmental Sciences,"Master's degree in related field, research proposal, German language proficiency, IELTS 7.0"
Technical University of Berlin,Berlin,Not in top rankings,Computer Science,"High school diploma, minimum GPA 2.5, IELTS 6.0"
Technical University of Berlin,Berlin,Not in top rankings,Mechanical Engineering,"High school diploma, minimum GPA 2.7, IELTS 6.5"
Technical University of Berlin,Berlin,Not in top rankings,Business Administration,"High school diploma, minimum GPA 2.5, IELTS 6.0"
Technical University of Berlin,Berlin,Not in top rankings,Civil Engineering,"High school diploma, minimum GPA 2.7, IELTS 6.5"
Hochschule Hof,Hof,Not in Top Rankings,Bachelor in Business Administration,"High School Diploma, GPA 2.5 or higher, IELTS 6.0"
Hochschule Hof,Hof,Not in Top Rankings,Master in Mechanical Engineering,"Bachelor's degree in related field, GPA 3.0 or higher, IELTS 6.5"
Hochschule Augsburg,Augsburg,Not in Top Rankings,Bachelor in Computer Science,"High School Diploma, GPA 2.8 or higher, IELTS 6.5"
Hochschule Augsburg,Augsburg,Not in Top Rankings,Master in International Business,"Bachelor's degree, GPA 3.0 or higher, IELTS 6.5"
Hochschule Kaiserslautern - University of Applied Sciences,Kaiserslautern,Not in Top Rankings,Bachelor in Electrical Engineering,"High School Diploma, GPA 2.7 or higher, IELTS 6.0"
Hochschule Kaiserslautern - University of Applied Sciences,Kaiserslautern,Not in Top Rankings,Master in Information Technology,"Bachelor's degree in related field, GPA 3.0 or higher, IELTS 6.5"
Hochschule für Gesundheit,Bochum,Not in top rankings,Bachelor of Science in Nursing,"High School Diploma, Good grades in relevant subjects, IELTS 6.0"
Hochschule für Gesundheit,Bochum,Not in top rankings,Master of Science in Health Management,"Bachelor's degree in related field, IELTS 6.5"
University of Applied Sciences Kiel,Kiel,Not in top rankings,Computer Science,"High school diploma, Mathematics proficiency, IELTS 6.0"
University of Applied Sciences Kiel,Kiel,Not in top rankings,Mechanical Engineering,"High school diploma, Physics proficiency, IELTS 6.5"
University of Applied Sciences Kiel,Kiel,Not in top rankings,Business Administration,"High school diploma, Economics background, IELTS 6.0"
University of Applied Sciences Kiel,Kiel,Not in top rankings,Environmental Engineering,"High school diploma, Chemistry proficiency, IELTS 6.5"
Hochschule Worms,Worms,Not in top rankings,Business Administration,"High school diploma, minimum GPA of 2.5, IELTS 6.0"
Hochschule Worms,Worms,Not in top rankings,International Management,"Bachelor's degree, minimum GPA of 3.0, IELTS 6.5"
Hochschule Worms,Worms,Not in top rankings,Computer Science,"High school diploma, minimum GPA of 2.7, IELTS 6.0"
Hochschule Mannheim,Mannheim,Not in top rankings,Mechanical Engineering,"Bachelor's degree in Engineering, GPA 2.7, IELTS 6.5"
Hochschule Mannheim,Mannheim,Not in top rankings,International Business,"Bachelor's degree, GPA 3.0, IELTS 6.0"
Hochschule Mannheim,Mannheim,Not in top rankings,Information Technology,"High school diploma, GPA 2.5, IELTS 6.0"
University of Applied Sciences Ingolstadt,Ingolstadt,Not in top rankings,Automotive Engineering,"High school diploma, Mathematics proficiency"
University of Applied Sciences Ingolstadt,Ingolstadt,Not in top rankings,Business Administration,"High school diploma, Economics background"
University of Applied Sciences Ingolstadt,Ingolstadt,Not in top rankings,Information Technology,"High school diploma, Computer Science knowledge"
University of Applied Sciences Ingolstadt,Ingolstadt,Not in top rankings,Mechanical Engineering,"High school diploma, Physics proficiency"
University of Applied Sciences Ingolstadt,Ingolstadt,Not in top rankings,Digital Marketing,"High school diploma, Marketing background"
University of Applied Sciences Ingolstadt,Ingolstadt,Not in top rankings,Renewable Energy Systems,"High school diploma, Environmental Science knowledge"
University of Applied Sciences Ingolstadt,Ingolstadt,Not in top rankings,International Business Management,"High school diploma, Business Studies background"
University of Applied Sciences Ingolstadt,Ingolstadt,Not in top rankings,Software Engineering,"High school diploma, Programming skills"
University of Applied Sciences Ingolstadt,Ingolstadt,Not in top rankings,Environmental Engineering,"High school diploma, Environmental Science knowledge"
University of Applied Sciences Ingolstadt,Ingolstadt,Not in top rankings,Business Information Systems,"High school diploma, Information Technology background"
